School DBN,# of students over five active on register,# of students w/ at least one dose,% w/ at least one dose,# of students fully vaccinated,% fully vaccinated,# of students not fully vaccinated,% of students not fully vaccinated,# of students never vaccinated,% of students never vaccinated
01M015,169,62,0.367,53,0.314,116,0.686,107,0.633
01M019,168,79,0.47,65,0.387,103,0.613,89,0.530
01M020,307,159,0.518,123,0.401,184,0.599,148,0.482
01M034,244,99,0.406,71,0.291,173,0.709,145,0.594
01M063,161,76,0.472,58,0.36,103,0.640,85,0.528
01M064,185,77,0.416,66,0.357,119,0.643,108,0.584
01M110,296,164,0.554,153,0.517,143,0.483,132,0.446
01M134,165,58,0.352,41,0.248,124,0.752,107,0.648
01M140,325,158,0.486,126,0.388,199,0.612,167,0.514
01M142,283,101,0.357,75,0.265,208,0.735,182,0.643
01M184,674,579,0.859,545,0.809,129,0.191,95,0.141
01M188,377,141,0.374,104,0.276,273,0.724,236,0.626
01M292,284,203,0.715,180,0.634,104,0.366,81,0.285
01M315,282,220,0.78,206,0.73,76,0.270,62,0.220
01M332,191,136,0.712,114,0.597,77,0.403,55,0.288
01M361,252,168,0.667,142,0.563,110,0.437,84,0.333
01M363,221,178,0.805,156,0.706,65,0.294,43,0.195
01M364,219,125,0.571,111,0.507,108,0.493,94,0.429
01M378,170,107,0.629,90,0.529,80,0.471,63,0.371
01M448,510,409,0.802,380,0.745,130,0.255,101,0.198
01M450,693,562,0.811,528,0.762,165,0.238,131,0.189
01M458,125,72,0.576,47,0.376,78,0.624,53,0.424
01M515,469,292,0.623,215,0.458,254,0.542,177,0.377
01M539,1629,1435,0.881,1370,0.841,259,0.159,194,0.119
01M650,116,54,0.466,34,0.293,82,0.707,62,0.534
01M696,604,553,0.916,539,0.892,65,0.108,51,0.084
01M839,326,249,0.764,231,0.709,95,0.291,77,0.236
02M001,189,111,0.587,89,0.471,100,0.529,78,0.413
02M002,344,238,0.692,207,0.602,137,0.398,106,0.308
02M003,523,407,0.778,371,0.709,152,0.291,116,0.222
02M006,501,423,0.844,383,0.764,118,0.236,78,0.156
02M011,716,581,0.811,545,0.761,171,0.239,135,0.189
02M033,482,311,0.645,276,0.573,206,0.427,171,0.355
02M040,586,462,0.788,436,0.744,150,0.256,124,0.212
02M041,435,370,0.851,337,0.775,98,0.225,65,0.149
02M042,476,407,0.855,382,0.803,94,0.197,69,0.145
02M047,233,189,0.811,169,0.725,64,0.275,44,0.189
02M051,374,202,0.54,180,0.481,194,0.519,172,0.460
02M059,520,417,0.802,373,0.717,147,0.283,103,0.198
02M077,346,312,0.902,285,0.824,61,0.176,34,0.098
02M089,313,269,0.859,240,0.767,73,0.233,44,0.141
02M104,905,773,0.854,735,0.812,170,0.188,132,0.146
02M111,302,170,0.563,123,0.407,179,0.593,132,0.437
02M114,418,361,0.864,336,0.804,82,0.196,57,0.136
02M116,346,252,0.728,223,0.645,123,0.355,94,0.272
02M124,538,465,0.864,420,0.781,118,0.219,73,0.136
02M126,578,455,0.787,406,0.702,172,0.298,123,0.213
02M130,620,526,0.848,471,0.76,149,0.240,94,0.152
02M131,226,183,0.81,170,0.752,56,0.248,43,0.190
02M135,285,204,0.716,183,0.642,102,0.358,81,0.284
02M139,388,282,0.727,250,0.644,138,0.356,106,0.273
02M150,141,119,0.844,111,0.787,30,0.213,22,0.156
02M151,338,241,0.713,217,0.642,121,0.358,97,0.287
02M158,599,480,0.801,432,0.721,167,0.279,119,0.199
02M167,1144,964,0.843,912,0.797,232,0.203,180,0.157
02M177,221,180,0.814,175,0.792,46,0.208,41,0.186
02M183,479,435,0.908,392,0.818,87,0.182,44,0.092
02M198,387,277,0.716,252,0.651,135,0.349,110,0.284
02M212,257,179,0.696,162,0.63,95,0.370,78,0.304
02M217,655,505,0.771,470,0.718,185,0.282,150,0.229
02M225,290,209,0.721,196,0.676,94,0.324,81,0.279
02M234,453,409,0.903,376,0.83,77,0.170,44,0.097
02M255,337,302,0.896,289,0.858,48,0.142,35,0.104
02M260,767,709,0.924,678,0.884,89,0.116,58,0.076
02M267,379,304,0.802,272,0.718,107,0.282,75,0.198
02M276,712,597,0.838,559,0.785,153,0.215,115,0.162
02M280,461,357,0.774,323,0.701,138,0.299,104,0.226
02M281,397,302,0.761,276,0.695,121,0.305,95,0.239
02M282,503,409,0.813,380,0.755,123,0.245,94,0.187
02M288,421,314,0.746,289,0.686,132,0.314,107,0.254
02M289,234,208,0.889,195,0.833,39,0.167,26,0.111
02M290,361,293,0.812,273,0.756,88,0.244,68,0.188
02M294,348,284,0.816,267,0.767,81,0.233,64,0.184
02M296,233,171,0.734,147,0.631,86,0.369,62,0.266
02M297,602,473,0.786,431,0.716,171,0.284,129,0.214
02M298,558,435,0.78,398,0.713,160,0.287,123,0.220
02M300,244,175,0.717,156,0.639,88,0.361,69,0.283
02M303,325,233,0.717,206,0.634,119,0.366,92,0.283
02M305,328,249,0.759,219,0.668,109,0.332,79,0.241
02M308,341,249,0.73,222,0.651,119,0.349,92,0.270
02M312,534,487,0.912,467,0.875,67,0.125,47,0.088
02M313,144,63,0.438,41,0.285,103,0.715,81,0.562
02M316,111,82,0.739,72,0.649,39,0.351,29,0.261
02M340,276,219,0.793,201,0.728,75,0.272,57,0.207
02M343,331,252,0.761,229,0.692,102,0.308,79,0.239
02M347,147,100,0.68,84,0.571,63,0.429,47,0.320
02M374,504,394,0.782,360,0.714,144,0.286,110,0.218
02M376,466,434,0.931,415,0.891,51,0.109,32,0.069
02M392,391,264,0.675,216,0.552,175,0.448,127,0.325
02M393,457,321,0.702,275,0.602,182,0.398,136,0.298
02M394,274,168,0.613,111,0.405,163,0.595,106,0.387
02M397,414,359,0.867,343,0.829,71,0.171,55,0.133
02M399,204,157,0.77,135,0.662,69,0.338,47,0.230
02M400,1089,907,0.833,841,0.772,248,0.228,182,0.167
02M407,487,431,0.885,414,0.85,73,0.150,56,0.115
02M408,542,467,0.862,446,0.823,96,0.177,75,0.138
02M411,480,453,0.944,444,0.925,36,0.075,27,0.056
02M412,486,449,0.924,439,0.903,47,0.097,37,0.076
02M413,716,643,0.898,621,0.867,95,0.133,73,0.102
02M414,492,450,0.915,432,0.878,60,0.122,42,0.085
02M416,538,500,0.929,485,0.901,53,0.099,38,0.071
02M418,645,590,0.915,580,0.899,65,0.101,55,0.085
02M419,342,254,0.743,222,0.649,120,0.351,88,0.257
02M420,1677,1392,0.83,1314,0.784,363,0.216,285,0.170
02M422,551,410,0.744,383,0.695,168,0.305,141,0.256
02M425,277,220,0.794,188,0.679,89,0.321,57,0.206
02M427,222,166,0.748,122,0.55,100,0.450,56,0.252
02M432,245,196,0.8,177,0.722,68,0.278,49,0.200
02M437,300,225,0.75,200,0.667,100,0.333,75,0.250
02M438,317,225,0.71,188,0.593,129,0.407,92,0.290
02M439,434,388,0.894,372,0.857,62,0.143,46,0.106
02M442,125,109,0.872,104,0.832,21,0.168,16,0.128
02M449,409,317,0.775,298,0.729,111,0.271,92,0.225
02M459,323,230,0.712,198,0.613,125,0.387,93,0.288
02M475,3313,3133,0.946,3065,0.925,248,0.075,180,0.054
02M489,700,559,0.799,513,0.733,187,0.267,141,0.201
02M500,313,245,0.783,209,0.668,104,0.332,68,0.217
02M507,445,349,0.784,319,0.717,126,0.283,96,0.216
02M519,480,409,0.852,390,0.813,90,0.188,71,0.148
02M520,113,70,0.619,63,0.558,50,0.442,43,0.381
02M527,440,359,0.816,309,0.702,131,0.298,81,0.184
02M529,195,150,0.769,133,0.682,62,0.318,45,0.231
02M531,233,202,0.867,196,0.841,37,0.159,31,0.133
02M533,428,351,0.82,334,0.78,94,0.220,77,0.180
02M534,412,328,0.796,300,0.728,112,0.272,84,0.204
02M542,477,398,0.834,357,0.748,120,0.252,79,0.166
02M543,484,361,0.746,323,0.667,161,0.333,123,0.254
02M544,313,149,0.476,92,0.294,221,0.706,164,0.524
02M545,373,343,0.92,332,0.89,41,0.110,30,0.080
02M546,442,339,0.767,317,0.717,125,0.283,103,0.233
02M550,425,253,0.595,168,0.395,257,0.605,172,0.405
02M551,512,409,0.799,387,0.756,125,0.244,103,0.201
02M560,501,300,0.599,221,0.441,280,0.559,201,0.401
02M565,151,125,0.828,110,0.728,41,0.272,26,0.172
02M570,174,87,0.5,52,0.299,122,0.701,87,0.500
02M575,638,296,0.464,170,0.266,468,0.734,342,0.536
02M580,278,213,0.766,191,0.687,87,0.313,65,0.234
02M586,66,42,0.636,30,0.455,36,0.545,24,0.364
02M600,1662,1281,0.771,1181,0.711,481,0.289,381,0.229
02M605,255,219,0.859,199,0.78,56,0.220,36,0.141
02M615,426,325,0.763,297,0.697,129,0.303,101,0.237
02M630,1500,1242,0.828,1191,0.794,309,0.206,258,0.172
02M655,329,231,0.702,210,0.638,119,0.362,98,0.298
02M896,343,291,0.848,275,0.802,68,0.198,52,0.152
02M933,120,71,0.592,57,0.475,63,0.525,49,0.408
03M009,457,383,0.838,361,0.79,96,0.210,74,0.162
03M054,758,666,0.879,623,0.822,135,0.178,92,0.121
03M075,443,279,0.63,229,0.517,214,0.483,164,0.370
03M076,266,139,0.523,102,0.383,164,0.617,127,0.477
03M084,480,364,0.758,316,0.658,164,0.342,116,0.242
03M087,624,535,0.857,507,0.813,117,0.188,89,0.143
03M145,347,158,0.455,129,0.372,218,0.628,189,0.545
03M149,241,109,0.452,87,0.361,154,0.639,132,0.548
03M163,386,251,0.65,223,0.578,163,0.422,135,0.350
03M165,316,172,0.544,141,0.446,175,0.554,144,0.456
03M166,588,495,0.842,464,0.789,124,0.211,93,0.158
03M180,339,188,0.555,155,0.457,184,0.543,151,0.445
03M185,234,92,0.393,76,0.325,158,0.675,142,0.607
03M191,439,205,0.467,159,0.362,280,0.638,234,0.533
03M199,549,465,0.847,443,0.807,106,0.193,84,0.153
03M241,94,31,0.33,27,0.287,67,0.713,63,0.670
03M242,115,46,0.4,31,0.27,84,0.730,69,0.600
03M243,259,221,0.853,215,0.83,44,0.170,38,0.147
03M245,368,309,0.84,287,0.78,81,0.220,59,0.160
03M247,207,160,0.773,151,0.729,56,0.271,47,0.227
03M250,95,56,0.589,46,0.484,49,0.516,39,0.411
03M256,152,110,0.724,100,0.658,52,0.342,42,0.276
03M258,173,126,0.728,116,0.671,57,0.329,47,0.272
03M291,714,634,0.888,598,0.838,116,0.162,80,0.112
03M299,120,85,0.708,73,0.608,47,0.392,35,0.292
03M307,359,274,0.763,244,0.68,115,0.320,85,0.237
03M333,499,376,0.754,364,0.729,135,0.271,123,0.246
03M334,509,455,0.894,428,0.841,81,0.159,54,0.106
03M402,258,202,0.783,183,0.709,75,0.291,56,0.217
03M403,414,302,0.729,266,0.643,148,0.357,112,0.271
03M404,105,60,0.571,37,0.352,68,0.648,45,0.429
03M415,381,260,0.682,229,0.601,152,0.399,121,0.318
03M417,403,362,0.898,346,0.859,57,0.141,41,0.102
03M421,157,87,0.554,76,0.484,81,0.516,70,0.446
03M452,310,228,0.735,208,0.671,102,0.329,82,0.265
03M479,1496,1386,0.926,1333,0.891,163,0.109,110,0.074
03M485,2350,2114,0.9,2019,0.859,331,0.141,236,0.100
03M492,396,288,0.727,251,0.634,145,0.366,108,0.273
03M494,439,315,0.718,287,0.654,152,0.346,124,0.282
03M505,197,106,0.538,68,0.345,129,0.655,91,0.462
03M541,434,392,0.903,376,0.866,58,0.134,42,0.097
03M859,294,258,0.878,242,0.823,52,0.177,36,0.122
03M860,351,208,0.593,179,0.51,172,0.490,143,0.407
03M862,360,270,0.75,253,0.703,107,0.297,90,0.250
04M007,285,123,0.432,95,0.333,190,0.667,162,0.568
04M012,534,445,0.833,410,0.768,124,0.232,89,0.167
04M037,188,79,0.42,59,0.314,129,0.686,109,0.580
04M038,147,35,0.238,25,0.17,122,0.830,112,0.762
04M057,534,278,0.521,230,0.431,304,0.569,256,0.479
04M072,515,265,0.515,207,0.402,308,0.598,250,0.485
04M083,305,125,0.41,103,0.338,202,0.662,180,0.590
04M096,334,171,0.512,128,0.383,206,0.617,163,0.488
04M102,136,68,0.5,49,0.36,87,0.640,68,0.500
04M108,345,157,0.455,123,0.357,222,0.643,188,0.545
04M112,185,90,0.486,71,0.384,114,0.616,95,0.514
04M146,283,92,0.325,67,0.237,216,0.763,191,0.675
04M155,182,46,0.253,34,0.187,148,0.813,136,0.747
04M171,679,364,0.536,329,0.485,350,0.515,315,0.464
04M182,221,114,0.516,96,0.434,125,0.566,107,0.484
04M206,450,276,0.613,239,0.531,211,0.469,174,0.387
04M224,178,129,0.725,114,0.64,64,0.360,49,0.275
04M310,129,86,0.667,65,0.504,64,0.496,43,0.333
04M372,465,315,0.677,274,0.589,191,0.411,150,0.323
04M375,170,49,0.288,33,0.194,137,0.806,121,0.712
04M377,184,107,0.582,84,0.457,100,0.543,77,0.418
04M435,1547,1355,0.876,1286,0.831,261,0.169,192,0.124
04M495,358,308,0.86,296,0.827,62,0.173,50,0.140
04M497,132,81,0.614,74,0.561,58,0.439,51,0.386
04M555,503,449,0.893,427,0.849,76,0.151,54,0.107
04M610,454,372,0.819,348,0.767,106,0.233,82,0.181
04M680,301,206,0.684,193,0.641,108,0.359,95,0.316
04M825,310,189,0.61,169,0.545,141,0.455,121,0.390
04M964,366,235,0.642,185,0.505,181,0.495,131,0.358
05M030,148,63,0.426,45,0.304,103,0.696,85,0.574
05M036,228,84,0.368,61,0.268,167,0.732,144,0.632
05M046,440,166,0.377,119,0.27,321,0.730,274,0.623
05M092,191,57,0.298,38,0.199,153,0.801,134,0.702
05M123,372,161,0.433,98,0.263,274,0.737,211,0.567
05M125,250,152,0.608,133,0.532,117,0.468,98,0.392
05M129,199,82,0.412,66,0.332,133,0.668,117,0.588
05M133,167,71,0.425,52,0.311,115,0.689,96,0.575
05M148,250,142,0.568,118,0.472,132,0.528,108,0.432
05M154,180,68,0.378,52,0.289,128,0.711,112,0.622
05M157,176,97,0.551,82,0.466,94,0.534,79,0.449
05M161,615,302,0.491,219,0.356,396,0.644,313,0.509
05M175,248,91,0.367,59,0.238,189,0.762,157,0.633
05M194,155,46,0.297,33,0.213,122,0.787,109,0.703
05M197,186,61,0.328,37,0.199,149,0.801,125,0.672
05M200,254,78,0.307,52,0.205,202,0.795,176,0.693
05M285,160,84,0.525,59,0.369,101,0.631,76,0.475
05M286,78,34,0.436,29,0.372,49,0.628,44,0.564
05M304,194,120,0.619,105,0.541,89,0.459,74,0.381
05M318,177,67,0.379,54,0.305,123,0.695,110,0.621
05M362,647,570,0.881,552,0.853,95,0.147,77,0.119
05M369,318,200,0.629,172,0.541,146,0.459,118,0.371
05M371,118,47,0.398,34,0.288,84,0.712,71,0.602
05M499,872,552,0.633,476,0.546,396,0.454,320,0.367
05M514,100,51,0.51,42,0.42,58,0.580,49,0.490
05M517,316,196,0.62,168,0.532,148,0.468,120,0.380
05M670,506,319,0.63,267,0.528,239,0.472,187,0.370
05M692,519,489,0.942,483,0.931,36,0.069,30,0.058
06M004,390,152,0.39,112,0.287,278,0.713,238,0.610
06M005,399,171,0.429,145,0.363,254,0.637,228,0.571
06M008,318,152,0.478,127,0.399,191,0.601,166,0.522
06M018,284,156,0.549,110,0.387,174,0.613,128,0.451
06M028,391,150,0.384,110,0.281,281,0.719,241,0.616
06M048,298,118,0.396,94,0.315,204,0.685,180,0.604
06M052,192,134,0.698,120,0.625,72,0.375,58,0.302
06M098,248,85,0.343,59,0.238,189,0.762,163,0.657
06M103,407,249,0.612,209,0.514,198,0.486,158,0.388
06M115,361,147,0.407,110,0.305,251,0.695,214,0.593
06M128,445,205,0.461,163,0.366,282,0.634,240,0.539
06M132,156,52,0.333,33,0.212,123,0.788,104,0.667
06M143,206,129,0.626,103,0.5,103,0.500,77,0.374
06M152,414,152,0.367,110,0.266,304,0.734,262,0.633
06M153,340,123,0.362,98,0.288,242,0.712,217,0.638
06M173,322,109,0.339,84,0.261,238,0.739,213,0.661
06M178,254,128,0.504,109,0.429,145,0.571,126,0.496
06M187,729,514,0.705,472,0.647,257,0.353,215,0.295
06M189,439,165,0.376,109,0.248,330,0.752,274,0.624
06M192,252,89,0.353,66,0.262,186,0.738,163,0.647
06M209,314,234,0.745,205,0.653,109,0.347,80,0.255
06M210,397,203,0.511,155,0.39,242,0.610,194,0.489
06M211,403,314,0.779,273,0.677,130,0.323,89,0.221
06M223,248,187,0.754,173,0.698,75,0.302,61,0.246
06M278,407,235,0.577,211,0.518,196,0.482,172,0.423
06M293,580,474,0.817,439,0.757,141,0.243,106,0.183
06M311,393,215,0.547,191,0.486,202,0.514,178,0.453
06M314,241,182,0.755,170,0.705,71,0.295,59,0.245
06M319,276,185,0.67,162,0.587,114,0.413,91,0.330
06M322,268,159,0.593,133,0.496,135,0.504,109,0.407
06M324,274,181,0.661,153,0.558,121,0.442,93,0.339
06M328,148,96,0.649,91,0.615,57,0.385,52,0.351
06M346,628,452,0.72,408,0.65,220,0.350,176,0.280
06M348,905,608,0.672,546,0.603,359,0.397,297,0.328
06M349,77,52,0.675,36,0.468,41,0.532,25,0.325
06M366,463,241,0.521,206,0.445,257,0.555,222,0.479
06M368,180,100,0.556,87,0.483,93,0.517,80,0.444
06M423,147,92,0.626,70,0.476,77,0.524,55,0.374
06M462,286,205,0.717,178,0.622,108,0.378,81,0.283
06M463,326,215,0.66,188,0.577,138,0.423,111,0.340
06M467,373,259,0.694,223,0.598,150,0.402,114,0.306
06M468,367,259,0.706,235,0.64,132,0.360,108,0.294
06M513,181,119,0.657,99,0.547,82,0.453,62,0.343
06M528,236,138,0.585,107,0.453,129,0.547,98,0.415
06M540,1404,1086,0.774,958,0.682,446,0.318,318,0.226
06M552,535,382,0.714,326,0.609,209,0.391,153,0.286
07X001,423,147,0.348,100,0.236,323,0.764,276,0.652
07X005,543,240,0.442,175,0.322,368,0.678,303,0.558
07X018,356,121,0.34,86,0.242,270,0.758,235,0.660
07X025,449,162,0.361,106,0.236,343,0.764,287,0.639
07X029,684,258,0.377,189,0.276,495,0.724,426,0.623
07X030,389,117,0.301,83,0.213,306,0.787,272,0.699
07X031,614,268,0.436,208,0.339,406,0.661,346,0.564
07X043,270,101,0.374,60,0.222,210,0.778,169,0.626
07X049,486,152,0.313,108,0.222,378,0.778,334,0.687
07X065,225,71,0.316,42,0.187,183,0.813,154,0.684
07X154,229,80,0.349,62,0.271,167,0.729,149,0.651
07X157,449,142,0.316,95,0.212,354,0.788,307,0.684
07X161,294,113,0.384,69,0.235,225,0.765,181,0.616
07X179,196,62,0.316,36,0.184,160,0.816,134,0.684
07X221,627,434,0.692,371,0.592,256,0.408,193,0.308
07X223,642,482,0.751,438,0.682,204,0.318,160,0.249
07X224,232,134,0.578,109,0.47,123,0.530,98,0.422
07X259,649,453,0.698,399,0.615,250,0.385,196,0.302
07X277,274,93,0.339,48,0.175,226,0.825,181,0.661
07X296,221,119,0.538,96,0.434,125,0.566,102,0.462
07X298,164,99,0.604,81,0.494,83,0.506,65,0.396
07X334,361,246,0.681,200,0.554,161,0.446,115,0.319
07X343,292,171,0.586,148,0.507,144,0.493,121,0.414
07X359,208,79,0.38,55,0.264,153,0.736,129,0.620
07X369,193,72,0.373,46,0.238,147,0.762,121,0.627
07X379,170,69,0.406,53,0.312,117,0.688,101,0.594
07X381,97,46,0.474,24,0.247,73,0.753,51,0.526
07X427,283,203,0.717,178,0.629,105,0.371,80,0.283
07X473,193,121,0.627,101,0.523,92,0.477,72,0.373
07X495,565,486,0.86,454,0.804,111,0.196,79,0.140
07X500,535,408,0.763,368,0.688,167,0.312,127,0.237
07X522,249,162,0.651,132,0.53,117,0.470,87,0.349
07X527,443,316,0.713,266,0.6,177,0.400,127,0.287
07X548,487,320,0.657,257,0.528,230,0.472,167,0.343
07X551,527,305,0.579,260,0.493,267,0.507,222,0.421
07X557,226,130,0.575,99,0.438,127,0.562,96,0.425
07X584,223,125,0.561,100,0.448,123,0.552,98,0.439
07X600,426,294,0.69,263,0.617,163,0.383,132,0.310
07X625,113,82,0.726,74,0.655,39,0.345,31,0.274
07X670,286,200,0.699,170,0.594,116,0.406,86,0.301
08X014,547,166,0.303,124,0.227,423,0.773,381,0.697
08X036,678,304,0.448,231,0.341,447,0.659,374,0.552
08X048,431,145,0.336,96,0.223,335,0.777,286,0.664
08X062,450,162,0.36,111,0.247,339,0.753,288,0.640
08X069,486,173,0.356,107,0.22,379,0.780,313,0.644
08X071,1254,531,0.423,450,0.359,804,0.641,723,0.577
08X072,580,214,0.369,172,0.297,408,0.703,366,0.631
08X075,414,159,0.384,114,0.275,300,0.725,255,0.616
08X093,267,85,0.318,57,0.213,210,0.787,182,0.682
08X100,401,162,0.404,115,0.287,286,0.713,239,0.596
08X101,533,326,0.612,295,0.553,238,0.447,207,0.388
08X107,448,146,0.326,98,0.219,350,0.781,302,0.674
08X119,546,253,0.463,190,0.348,356,0.652,293,0.537
08X123,547,323,0.59,275,0.503,272,0.497,224,0.410
08X130,286,96,0.336,73,0.255,213,0.745,190,0.664
08X131,345,194,0.562,158,0.458,187,0.542,151,0.438
08X138,472,165,0.35,122,0.258,350,0.742,307,0.650
08X140,380,175,0.461,135,0.355,245,0.645,205,0.539
08X146,321,135,0.421,89,0.277,232,0.723,186,0.579
08X152,666,265,0.398,206,0.309,460,0.691,401,0.602
08X182,457,163,0.357,105,0.23,352,0.770,294,0.643
08X269,616,435,0.706,383,0.622,233,0.378,181,0.294
08X282,194,105,0.541,93,0.479,101,0.521,89,0.459
08X293,411,273,0.664,243,0.591,168,0.409,138,0.336
08X301,174,96,0.552,82,0.471,92,0.529,78,0.448
08X302,398,221,0.555,186,0.467,212,0.533,177,0.445
08X304,464,183,0.394,144,0.31,320,0.690,281,0.606
08X312,381,264,0.693,233,0.612,148,0.388,117,0.307
08X320,322,221,0.686,195,0.606,127,0.394,101,0.314
08X333,492,190,0.386,138,0.28,354,0.720,302,0.614
08X337,437,280,0.641,243,0.556,194,0.444,157,0.359
08X348,347,210,0.605,185,0.533,162,0.467,137,0.395
08X349,420,308,0.733,272,0.648,148,0.352,112,0.267
08X367,552,346,0.627,297,0.538,255,0.462,206,0.373
08X371,356,219,0.615,191,0.537,165,0.463,137,0.385
08X375,192,85,0.443,65,0.339,127,0.661,107,0.557
08X376,404,252,0.624,208,0.515,196,0.485,152,0.376
08X377,91,44,0.484,30,0.33,61,0.670,47,0.516
08X392,371,135,0.364,98,0.264,273,0.736,236,0.636
08X405,1008,698,0.692,610,0.605,398,0.395,310,0.308
08X424,284,162,0.57,126,0.444,158,0.556,122,0.430
08X432,323,220,0.681,182,0.563,141,0.437,103,0.319
08X448,346,204,0.59,168,0.486,178,0.514,142,0.410
08X452,304,180,0.592,142,0.467,162,0.533,124,0.408
08X467,349,175,0.501,143,0.41,206,0.590,174,0.499
08X530,347,254,0.732,222,0.64,125,0.360,93,0.268
08X537,157,72,0.459,42,0.268,115,0.732,85,0.541
08X558,451,324,0.718,290,0.643,161,0.357,127,0.282
08X561,378,237,0.627,195,0.516,183,0.484,141,0.373
08X562,530,339,0.64,293,0.553,237,0.447,191,0.360
08X583,318,148,0.465,118,0.371,200,0.629,170,0.535
09X004,332,118,0.355,82,0.247,250,0.753,214,0.645
09X011,397,125,0.315,90,0.227,307,0.773,272,0.685
09X022,318,176,0.553,140,0.44,178,0.560,142,0.447
09X028,562,231,0.411,175,0.311,387,0.689,331,0.589
09X035,451,190,0.421,127,0.282,324,0.718,261,0.579
09X042,298,108,0.362,69,0.232,229,0.768,190,0.638
09X053,642,213,0.332,141,0.22,501,0.780,429,0.668
09X055,446,130,0.291,93,0.209,353,0.791,316,0.709
09X058,299,107,0.358,55,0.184,244,0.816,192,0.642
09X063,379,109,0.288,72,0.19,307,0.810,270,0.712
09X070,782,291,0.372,205,0.262,577,0.738,491,0.628
09X073,289,102,0.353,72,0.249,217,0.751,187,0.647
